num_forms,num_inputs,has_password_field,num_links,has_suspicious_keywords,num_external_links,has_external_form_action,label
1,2,0,152,1,151,1,0
1,0,0,153,0,69,0,0
0,0,0,128,1,34,0,0
0,0,0,628,1,617,0,0
2,5,0,87,1,51,1,0
0,0,0,197,1,16,0,0
1,1,0,155,1,149,1,0
1,1,0,154,1,22,0,0
1,3,0,371,0,8,0,0
1,1,0,78,1,29,0,0
0,0,0,41,1,31,0,1
1,1,0,133,0,132,1,1
0,0,0,3,0,0,0,1
0,0,0,25,0,24,0,1
0,0,0,0,0,0,0,1
1,6,1,48,1,0,0,1
1,2,1,16,1,0,0,1
1,2,1,15,1,0,0,1
1,2,1,27,1,22,0,1
1,20,0,0,0,0,0,1
0,0,0,4,0,2,0,1
0,0,0,0,0,0,0,1
1,5,1,4,1,0,0,1
0,0,0,18,0,18,0,1
4,15,0,18,0,2,0,1
4,15,0,18,0,2,0,1
